vreme_pokretanja,scale,baza,oznaka_upita,naziv_upita,broj_redova,broj_ponavljanja,min_ms,max_ms,prosek_ms,medijana_ms
2026-06-04T17:07:11,150,PostgreSQL,U1,Promet izmedju filijala,11,10,0.748,2.041,1.079,1.039
2026-06-04T17:07:11,150,Neo4j,U1,Promet izmedju filijala,11,10,3.074,4.19,3.546,3.536
2026-06-04T17:07:11,150,PostgreSQL,U2,Najaktivniji klijenti,5,10,1.04,1.2,1.095,1.082
2026-06-04T17:07:11,150,Neo4j,U2,Najaktivniji klijenti,5,10,4.818,9.215,5.758,5.331
2026-06-04T17:07:34,15000,PostgreSQL,U1,Promet izmedju filijala,20,10,6.075,7.462,6.498,6.266
2026-06-04T17:07:34,15000,Neo4j,U1,Promet izmedju filijala,20,10,20.643,35.232,23.383,21.727
2026-06-04T17:07:34,15000,PostgreSQL,U2,Najaktivniji klijenti,20,10,2.909,7.809,3.811,3.246
2026-06-04T17:07:34,15000,Neo4j,U2,Najaktivniji klijenti,20,10,921.467,1143.906,1040.453,1039.094
2026-06-04T17:07:53,100000,PostgreSQL,U1,Promet izmedju filijala,20,10,6.287,7.716,6.652,6.49
2026-06-04T17:07:53,100000,Neo4j,U1,Promet izmedju filijala,20,10,21.026,37.034,25.517,23.471
2026-06-04T17:07:53,100000,PostgreSQL,U2,Najaktivniji klijenti,20,10,3.295,7.298,4.709,4.244
2026-06-04T17:07:53,100000,Neo4j,U2,Najaktivniji klijenti,20,10,884.712,1047.171,961.84,965.32
2026-06-06T17:31:32,150,PostgreSQL,U1,Promet izmedju filijala,4,10,1.403,7.795,2.886,1.565
2026-06-06T17:31:32,150,Neo4j,U1,Promet izmedju filijala,4,10,2.567,5.212,3.621,3.642
2026-06-06T17:31:32,150,PostgreSQL,U2,Najaktivniji klijenti,4,10,1.248,8.945,3.321,2.316
2026-06-06T17:31:32,150,Neo4j,U2,Najaktivniji klijenti,4,10,4.856,14.622,8.724,7.736
2026-06-06T17:31:32,150,PostgreSQL,U3,Doseznost racuna,3,10,4.417,8.669,5.688,5.175
2026-06-06T17:31:32,150,Neo4j,U3,Doseznost racuna,3,10,2.357,5.942,3.397,2.714
2026-06-06T17:31:32,150,PostgreSQL,U4,Detekcija kruznih transakcija,7,10,13.559,18.964,15.495,14.92
2026-06-06T17:31:32,150,Neo4j,U4,Detekcija kruznih transakcija,6,10,34.634,40.224,36.754,36.348
2026-06-06T17:32:03,15000,PostgreSQL,U1,Promet izmedju filijala,20,10,9.89,17.155,12.113,11.752
2026-06-06T17:32:03,15000,Neo4j,U1,Promet izmedju filijala,20,10,22.85,56.203,31.497,27.521
2026-06-06T17:32:03,15000,PostgreSQL,U2,Najaktivniji klijenti,20,10,4.917,7.726,5.964,5.754
2026-06-06T17:32:03,15000,Neo4j,U2,Najaktivniji klijenti,20,10,13.606,23.809,15.616,14.343
2026-06-06T17:32:03,15000,PostgreSQL,U3,Doseznost racuna,3,10,86.306,174.004,99.923,88.191
2026-06-06T17:32:03,15000,Neo4j,U3,Doseznost racuna,3,10,15.884,18.92,17.242,17.098
2026-06-06T17:32:03,15000,PostgreSQL,U4,Detekcija kruznih transakcija,20,10,360.358,375.093,365.533,364.966
2026-06-06T17:32:03,15000,Neo4j,U4,Detekcija kruznih transakcija,20,10,79.902,105.128,88.382,83.729
2026-06-06T17:32:59,100000,PostgreSQL,U1,Promet izmedju filijala,20,10,46.418,76.671,52.567,48.836
2026-06-06T17:32:59,100000,Neo4j,U1,Promet izmedju filijala,20,10,151.775,285.884,177.549,163.307
2026-06-06T17:32:59,100000,PostgreSQL,U2,Najaktivniji klijenti,20,10,25.436,30.072,27.182,26.888
2026-06-06T17:32:59,100000,Neo4j,U2,Najaktivniji klijenti,20,10,76.552,101.317,84.001,78.859
2026-06-06T17:32:59,100000,PostgreSQL,U3,Doseznost racuna,3,10,130.866,167.112,147.592,145.79
2026-06-06T17:32:59,100000,Neo4j,U3,Doseznost racuna,3,10,101.959,179.242,133.235,130.173
2026-06-06T17:32:59,100000,PostgreSQL,U4,Detekcija kruznih transakcija,20,10,817.02,1114.121,926.109,904.304
2026-06-06T17:32:59,100000,Neo4j,U4,Detekcija kruznih transakcija,20,10,226.762,281.246,252.172,248.392
